date;URL;tag;description
2022-01-02;https://twitter.com/ggreenwald/status/1477634329446649858;COVID;The left is screaming that we are in some new, more dangerous stage of the pandemic simply because COVID cases are way up, even though COVID deaths are down almost as low as at any point in the pandemic. If COVID is a highly infectious airborne virus, and humans are social creatures that must interact for modern economies to function, why haven’t we accepted that the virus will spread among us regardless of how strict public health control measures are? Why is the left obsessed enough with stopping the spread of COVID that it wants to force everyone to be vaccinated and shut down businesses, but not with stopping the spread of other deadly diseases like influenza or pneumonia? If cases are more prevalent, but they are also more mild, then why is the left acting like the pandemic is in its darkest days since before the COVID vaccines were released? The focus is clearly on the wrong metric: cases will happen, especially since the vaccine seems not to be effective against Omicron, but its deaths we have to keep under control. 
2022-01-03;https://twitter.com/ScottAdamsSays/status/1478006717501763584;election;An audit of Maricopa county’s administration of the 2020 election revealed that, while the approved ballot stock uses an 80lb stock, ballots used as many as 10 stocks of differing weight. This in itself is not proof that the election was undermined, but that it well could have been—that fraud cannot be ruled out. When ballot paper stock is chosen for election security and yet ballots deviated from this stock, fraud must be at least suspected. And in an election, even the suspicion of fraud is unacceptable. If fraud provably could have happened, then how do we know it didn’t? And if we don’t know fraud didn’t happen, then how can we say that an election was legitimate? 
2022-01-03;https://twitter.com/ggreenwald/status/1478084512701722627;law enforcement;When black people are shot by law enforcement and media reports on the victim’s moral indiscretions, the left at least insists that all victims deserve compassion which shouldn’t be minimized by attacks on their reputation and at most that it is racist. But when a Trump supporter is shot then the left minimizes the tragedy by pointing out that they weren’t of impeccable morals. The double-standard is such that if a victim serves the left’s interests, then you are evil and heartless to point out that they weren’t the best person, but if the victim opposes the left’s interests, then it’s OK to point out the victim’s flaws. 
2022-01-04;https://www.axios.com/the-rise-and-fall-latinx-latino-hispanic-142d2a32-5b01-46f7-b680-76d0ea0928eb.html;identity;A prominent Latino groups is pushing back against (predominantly) the left’s use of the term Latinx to forcibly impose American leftist political dogma on Latino culture—imposition of culture, ironically, being something that the left claims to stand against. The Spanish language uses gendered nouns, and as any group would be toward their own language, many Latinos treasure and preserve the heritage of their language. Because of the left’s current obsession with gender-neutrality, leftists have devised the term “Latinx” to sanitize the Spanish language’s word which Latinos use to define themselves as a group, despite the fact that they overwhelmingly reject the contrived “Latinx” term. Ordinarily leftists recoil and condemn those who try to impose one’s culture on another. But when the left wants to impose its language policing culture on others, even those from a minority identity group which they claim to fight for, cultural dominance (what they doctrinally decry as “colonialism”) is suddenly not an issue they care about. 
2022-01-04;https://twitter.com/aaronsibarium/status/1478538279746252800;COVID;Yale students who are required to have full COVID vaccination and a booster, have been prohibited from even eating outdoors by the school. If the vaccine is so effective, why is Yale afraid of its vaccinated and boosted students eating outdoors, where COVID transmission is shown to be low? What is Yale afraid might happen? That these more-than-fully vaccinated students will catch COVID? And if they did catch COVID, are they worried cases will be severe, even though the vaccine manufacturers and public health experts have sworn that that’s nearly impossible? It sure doesn’t look like these school policy makers have much faith in the vaccine. 
2022-01-04;https://www.youtube.com/watch?v=_4k9Ovt-nm8;COVID;According to computer modeling which has already proven accurate for SARS-CoV-2 predictions in the past, it is likely that the vaccination is driving the natural selection of coronavirus mutations that make it more infectious and less susceptible to prior developed human antibodies. Anyone who has taken high school biology could have told you that when an evolutionary pressure is applied to a species—like when vaccines are introduced to create antibodies for a specific mRNA sequence of SARS-CoV-2—it accelerates the natural selection of survival advantages. If there were no vaccines, coronavirus would have no pressure to evolve. There’s no reason to change what already works. But by introducing vaccines which help develop antibodies against a specific mRNA sequence for the virus, while the original strain of the virus without mutations will be quickly killed off, mutations that differentiate the virus from what the antibodies were developed for will thrive because they will not be recognized as easily. And over time, in a population of billions, these more resilient (i.e. mutated enough to be less recognized by antibodies) viruses will propagate more than the previous strain and take over. Finally there is sound scientific study, with a proven track record, that reinforces this fundamental biological reality in the context of COVID. mRNA COVID“vaccine” skeptics should fully expect to be vindicated in time when the model is borne out. 
2022-01-04;https://www.theguardian.com/us-news/video/2022/jan/04/joe-biden-coronavirus-omicron-variant-covid-vaccines;COVID;Biden claims that there is no possible reason why someone wouldn’t take the COVID mRNA “vaccine”—that Americans have “no excuse” not to do so—as though Americans shouldn’t be trusted to make their own medical choices for their own bodies based on their own unique health needs. It’s pretty outrageous that rhetoric like this is coming from a “my body, my choice” pro-abortion Democrat. The entire rationale behind abortion is that people have a right to choose what to do with their own bodies, even terminating a pregnancy. But apparently bodily autonomy goes out the window when the Democrats decree that a public emergency demands it. Whether you’ve developed natural immunity to COVID from an infection, or you are a young person or athlete who is fit and worried about suffering myocarditis as a side effect of the mRNA COVID jabs, or you have religious convictions which prevent you from using any product of fetal tissue (as the mRNA COVID jabs are), the Democrats don’t want to hear your excuses: they expect you only to fall into line and obey. 
2022-01-06;https://www.axios.com/obama-capitol-riot-democracy-greater-risk-27565770-2069-4fda-a4e4-1fecd923ef30.html;authoritarianism;In trying to drum up fear and a pretext to persecute the Democrats’ political opponents, Obama is alleging that democracy is in greater peril today, with Trump and his supporters allowing the Biden administration to wield presidential power with only token rhetorical opposition, than it was during the supposed “Capitol Insurrection”. If, in the Democrats’ thinking, January 6, 2021 was the darkest day of our democracy, when Trump and his supporters supposedly wanted to overthrow the government—which they could have done by sheer numbers but didn’t make even the slightest attempt to—then how are our days darker now, now that Trump’s supporters are going about their lives and not doing anything to threaten the stability of the government? How is America in greater danger now, with opponents of certain Democrat party lines banned from any meaningful presence on social media, than it was on the day of the Capital Riot? How is democracy in more peril now, now that Republicans are seeking purely peaceful electoral means of resistance to the Democrats (e.g. the groundswell of conservatives winning school board elections), than it was when rioters trespassed on the grounds of the Capitol? No rational person could conclude that, and yet the Democrats are insisting on this because they want to justify the ostracism and punitive treatment of their opponents. 
2022-01-06;https://www.bbc.co.uk/news/av/world-us-canada-59892937;authoritarianism;Biden claims that Trump tried to thwart the peaceful transition of power in spite of the fact that Trump had no hand in planning the Capitol Riot or the peaceful protest which preceded it—he merely spoke before those gathered for the latter—and in spite of the fact that the rioters did not so much as use any kind of lethal force against public servants, security personnel, or law enforcement. If the rioters in the Capitol on January 6, 2021 wanted to overthrow the government, why didn’t they? They certainly had the numbers to mount a coup, and if even a small fraction of them carried weapons into the Capitol building, they certainly could have carried out an armed seizure the building and all its occupants. And yet even so they did no such thing: they did not brandish lethal weapons, they did not use deadly force, and they left the Capitol of their own accord having not secured any change in government. They would have had to be the most laughably incompetent conspirators in human history to have sought a coup and yet not achieved it on January 6, 2021. Only Democrats, with their fawning, docile followers could believe such a ridiculous, contrived conspiracy theory as this. 
2022-01-07;https://www.reuters.com/world/europe/omicron-spike-most-vaccinated-german-state-heralds-nationwide-surge-2022-01-07/;COVID;The state in Germany with the highest rate of vaccination in the country also has the highest COVID case rate in the country. If the vaccine was so effective, this should not be possible. If only the unvaccinated got COVID (which should now be utterly disproven by a mountain of evidence), this state would have the smallest population (proportionally) that could even get infected. In Germany, the unvaccinated are not allowed in indoor public spaces (with limited exceptions), either, so there is even less chance of the unvaccinated spreading COVID. So is it that the unvaccinated in this state are socializing significantly more than those in states with more unvaccinated people all without going to indoor public spaces, or is it that the vaccine isn’t effective? What is more likely? What fits the evidence better? 
2022-01-08;https://twitter.com/ggreenwald/status/1479852756676624387;COVID;While Trump was president and the Democrats wanted to paint him as negligent, hospitals tested every patient who came through their doors for COVID and considered any positive results a COVID patient, but now that Biden is in charge and Democrats want him to look good, hospitals have begun distinguishing between patients hospitalized for COVID and patients hospitalized for another reason with an incidental COVID positive result. What’s more likely: that the staff of a large majority of hospitals around the country were all too stupid to make the distinction between “hospitalized for COVID” and “hospitalized (incidentally) with COVID” when the pandemic began and didn’t realize their mistake for the entire last year of Trump’s presidency, or that they didn’t want to publish more detailed numbers so conservatives couldn’t make a counterargument? Regardless, what is now known where this data granularity is available is that only about half of those with COVID in the hospital were admitted due to COVID. It sure puts those claims of low ICU bed availability in perspective.
2022-01-08;https://thepostmillennial.com/border-patrol-increase-fentanyl-seized-south-texas;law enforcement;US border agents seized 1066% more fentanyl in 2021, Biden’s first year in office, than in 2020. This is stunning in itself, because Biden did not change many of Trump’s hardline immigration policies. This data is consistent with the massive increase in migrants Biden’s first year saw compared to Trump’s last year. What’s extremely telling, though, is that there are not 10 times as many migrants coming to the border, but yet there IS 10 times as much fentanyl being confiscated at the border. If the migration flow itself is any indication, the increase likely owes to the perception (though, clearly, not the reality) among migrants that Biden is more lenient on immigration than Trump. 
2022-01-09;https://twitter.com/drscott_atlanta/status/1480295777213857799 [archived];COVID;The head of the CDC just admitted that the COVID “vaccines” don’t stop transmission, and didn’t even claim in the same statement that they even REDUCED transmission. What more proof do people need that the vaccinated still spread COVID? And how effective is a vaccine if it still allowed the vaccinated individual to spread the disease for which they are vaccinated? Would anyone trust a measles vaccine if the vaccinated individual could still catch and spread measles? Of course not. By definition, a vaccine prevents transmission. That’s why the mRNA COVID shots aren’t vaccines: they’re experimental mRNA immunotherapies. More importantly, if the highest health authority in America admitted that the COVID shot doesn’t stop the spread, why are cities continuing to introduce vaccine mandate policies premised specifically on the notion that such policies would stop the spread? 
2022-01-10;https://www.latimes.com/business/story/2022-01-10/why-shouldnt-we-dance-on-the-graves-of-anti-vaxxers;COVID;A column in one of America’s (historically) most prestigious newspapers is advocating that those who took the COVID mRNA shot jeer at and celebrate the deaths of those who did not. It is hard to think of more sickening conduct to encourage in our society. And such behavior, already present at a small scale, would only reinforce the fact that the “unvaccinated” are treated as second-class citizens in their own country. How can anyone who behaves this way seriously contend that they have right on their side? How could anyone who truly DID have right on their side stomach such repulsive behavior?
